Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American
2005 ,KV ,499 ,BALAS ,0311 ,English ,90,15,75,0,71,7,5,6,0
2005 ,KV ,499 ,BALAS ,0311 ,English ,1,0,1,0,0,1,0,0,0
2005 ,KV ,499 ,BALAS ,0420 ,Rhetoric ,80,41,39,0,47,3,19,8,1
2005 ,KV ,499 ,BALAS ,0420 ,Rhetoric ,39,23,16,0,25,1,11,2,0
2005 ,KV ,499 ,BALAS ,0420 ,Rhetoric ,4,3,1,0,3,0,0,1,0
2005 ,KV ,499 ,BALAS ,0420 ,Rhetoric ,11,5,6,0,7,0,3,1,0
2005 ,KV ,499 ,MA ,0311 ,English ,57,25,32,0,51,3,0,2,0
2005 ,KV ,499 ,MFA ,1136 ,Creative Writing ,18,8,10,0,13,2,1,2,0
2005 ,KV ,499 ,NDEG ,0311 ,English ,1,1,0,0,1,0,0,0,0
2005 ,KV ,499 ,PHD ,0311 ,English ,79,27,52,0,55,4,2,2,0
2005 ,KV ,514 ,BALAS ,0308 ,Classics ,15,8,7,0,11,1,1,1,0
2005 ,KV ,514 ,BALAS ,0308 ,Classics ,2,1,1,0,2,0,0,0,0
2005 ,KV ,514 ,BALAS ,0308 ,Classics ,4,1,3,0,3,0,0,1,0
2005 ,KV ,514 ,BALAS ,0308 ,Classics ,5,2,3,0,5,0,0,0,0
2005 ,KV ,514 ,MA ,0308 ,Classics ,8,4,4,0,7,0,0,0,0
2005 ,KV ,514 ,MA ,0345 ,Teaching of Latin ,1,1,0,0,1,0,0,0,0
2005 ,KV ,514 ,PHD ,0347 ,Classical Philology ,7,5,2,0,5,0,0,0,0
2005 ,KV ,553 ,BALAS ,0287 ,Russian & E European Studies ,4,4,0,0,4,0,0,0,0
2005 ,KV ,553 ,MA ,0287 ,Russian & E European Studies ,8,4,4,0,7,0,0,0,0
2005 ,KV ,580 ,BALAS ,0075 ,Finance ,145,107,38,0,101,22,2,10,1
2005 ,KV ,580 ,BALAS ,0075 ,Finance ,17,10,7,0,9,6,0,1,0
2005 ,KV ,580 ,BALAS ,0150 ,History of Art ,30,2,28,0,25,2,2,0,0
2005 ,KV ,580 ,BALAS ,0265 ,Music ,17,10,7,0,13,1,2,0,0
2005 ,KV ,580 ,BALAS ,0401 ,International Studies ,311,89,222,0,198,32,16,37,3
2005 ,KV ,580 ,BALAS ,0401 ,International Studies ,6,3,3,0,4,1,0,1,0
2005 ,KV ,580 ,BALAS ,0422 ,Humanities ,7,5,2,0,4,0,2,1,0
2005 ,KV ,580 ,BALAS ,0463 ,Individual Plans of Study ,5,2,3,0,4,0,1,0,0
2005 ,KV ,580 ,BALAS ,3865 ,Interdisciplinary ,6,2,4,0,3,2,1,0,0
2005 ,KV ,580 ,BALAS ,3865 ,Interdisciplinary ,4,1,3,0,4,0,0,0,0
2005 ,KV ,580 ,BALAS ,3865 ,Interdisciplinary ,20,12,8,0,13,0,3,3,0
2005 ,KV ,580 ,BALAS ,3865 ,Interdisciplinary ,4,3,1,0,4,0,0,0,0
2005 ,KV ,580 ,BALAS ,3865 ,Interdisciplinary ,4,0,4,0,3,0,1,0,0
2005 ,KV ,580 ,BS ,0240 ,Physics ,101,79,22,0,70,12,4,3,0
2005 ,KV ,580 ,BSLAS ,0240 ,Physics ,81,64,17,0,44,21,2,1,1
2005 ,KV ,580 ,BSLAS ,0240 ,Physics ,5,2,3,0,5,0,0,0,0
2005 ,KV ,580 ,NDEG ,0067 ,Nondegree ,130,68,60,2,44,5,1,2,0
2005 ,KV ,580 ,NONE ,0390 ,General Curriculum ,3775,1700,2070,5,2313,465,457,345,14
2005 ,KV ,583 ,BALAS ,0329 ,Statistics ,1,0,1,0,0,0,0,1,0
2005 ,KV ,583 ,BSLAS ,0329 ,Statistics ,36,27,9,0,21,6,3,1,0
2005 ,KV ,583 ,BSLAS ,0464 ,Statistics & Computer Science ,10,9,1,0,3,5,0,0,0
2005 ,KV ,583 ,MS ,0329 ,Statistics ,22,9,13,0,6,3,2,1,0
2005 ,KV ,583 ,MS ,0329 ,Statistics ,1,1,0,0,0,0,0,0,0
2005 ,KV ,583 ,MS ,0329 ,Statistics ,1,0,1,0,0,0,0,0,0
2005 ,KV ,583 ,PHD ,0329 ,Statistics ,16,7,9,0,3,0,0,0,0
2005 ,KV ,584 ,PHD ,0321 ,Cell and Structural Biology ,74,35,39,0,21,7,2,2,1
2005 ,KV ,585 ,BA ,0297 ,Teaching of Spanish ,27,3,24,0,22,2,0,1,0
2005 ,KV ,585 ,BALAS ,0305 ,Italian ,7,1,6,0,6,1,0,0,0
2005 ,KV ,585 ,BALAS ,0306 ,Portuguese ,1,1,0,0,0,0,1,0,0
2005 ,KV ,585 ,BALAS ,0307 ,Spanish ,259,79,180,0,166,15,19,54,1
2005 ,KV ,585 ,BALAS ,0307 ,Spanish ,8,3,5,0,4,1,0,3,0
2005 ,KV ,585 ,MA ,0305 ,Italian ,1,0,1,0,1,0,0,0,0
2005 ,KV ,585 ,MA ,0307 ,Spanish ,21,5,16,0,6,0,0,5,0
2005 ,KV ,585 ,PHD ,0305 ,Italian ,2,1,1,0,0,0,0,1,0
2005 ,KV ,585 ,PHD ,0306 ,Portuguese ,1,0,1,0,0,0,0,0,0
2005 ,KV ,585 ,PHD ,0307 ,Spanish ,30,10,20,0,6,0,0,3,0
2005 ,KV ,604 ,BSLAS ,0325 ,Molecular & Integrative Physi ,2,1,1,0,1,1,0,0,0
2005 ,KV ,604 ,BSLAS ,0408 ,Bioengineering ,1,1,0,0,0,0,0,0,0
2005 ,KV ,604 ,PHD ,0325 ,Molecular & Integrative Physi ,35,20,15,0,7,4,2,3,0
2005 ,KV ,655 ,BS ,0336 ,Geology ,12,7,5,0,11,0,0,1,0
2005 ,KV ,655 ,BS ,0336 ,Geology ,1,1,0,0,1,0,0,0,0
2005 ,KV ,655 ,BS ,0336 ,Geology ,1,0,1,0,0,0,0,1,0
2005 ,KV ,655 ,BSLAS ,0336 ,Geology ,32,23,9,0,26,2,0,4,0
2005 ,KV ,655 ,BSLAS ,0336 ,Geology ,5,1,4,0,4,0,0,1,0
2005 ,KV ,655 ,BSLAS ,0336 ,Geology ,6,4,2,0,6,0,0,0,0
