,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown,International
210,2010,KP ,Electrical & Computer Engr ,504.0,436.0,68.0,0.0,152.0,49.0,6.0,14.0,0.0,0.0,283.0
211,2015,KP ,Electrical & Computer Engr ,503.0,429.0,74.0,0.0,101.0,47.0,6.0,9.0,0.0,0.0,340.0
212,2005,KP ,Electrical Engineering ,1406.0,1223.0,183.0,0.0,531.0,383.0,24.0,31.0,2.0,0.0,435.0
213,2010,KP ,Electrical Engineering ,1024.0,906.0,116.0,2.0,333.0,226.0,20.0,47.0,1.0,0.0,397.0
214,2015,KP ,Electrical Engineering ,1146.0,1002.0,144.0,0.0,360.0,287.0,18.0,51.0,1.0,0.0,429.0
215,2005,KN ,Elementary Education ,408.0,36.0,372.0,0.0,298.0,29.0,20.0,14.0,0.0,0.0,47.0
216,2010,KN ,Elementary Education ,308.0,19.0,288.0,1.0,238.0,22.0,12.0,16.0,0.0,0.0,20.0
217,2015,KN ,Elementary Education ,378.0,25.0,353.0,0.0,268.0,47.0,11.0,40.0,0.0,0.0,12.0
218,2015,KP ,Engineering ,20.0,14.0,6.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,11.0
219,2005,KP ,Engineering Mechanics ,78.0,63.0,15.0,0.0,69.0,3.0,1.0,2.0,0.0,0.0,3.0
220,2010,KP ,Engineering Mechanics ,135.0,115.0,20.0,0.0,82.0,17.0,1.0,6.0,0.0,0.0,29.0
221,2015,KP ,Engineering Mechanics ,112.0,101.0,11.0,0.0,45.0,15.0,0.0,11.0,0.0,0.0,41.0
222,2005,KP ,Engineering Physics ,101.0,87.0,14.0,0.0,83.0,9.0,1.0,3.0,0.0,0.0,5.0
223,2010,KP ,Engineering Physics ,143.0,127.0,16.0,0.0,96.0,17.0,0.0,4.0,0.0,0.0,26.0
224,2015,KP ,Engineering Physics ,248.0,218.0,30.0,0.0,136.0,37.0,2.0,13.0,1.0,0.0,59.0
225,2015,KP ,Engineering Undeclared ,147.0,117.0,30.0,0.0,75.0,38.0,4.0,8.0,0.0,0.0,22.0
226,2005,KV ,English ,1058.0,333.0,724.0,1.0,777.0,80.0,87.0,69.0,3.0,0.0,42.0
227,2010,KV ,English ,813.0,262.0,550.0,1.0,613.0,56.0,44.0,65.0,1.0,0.0,34.0
228,2015,KV ,English ,439.0,135.0,304.0,0.0,286.0,43.0,18.0,54.0,2.0,0.0,36.0
229,2005,KV ,Entomology ,33.0,16.0,17.0,0.0,23.0,1.0,1.0,0.0,0.0,0.0,8.0
230,2010,KV ,Entomology ,33.0,14.0,19.0,0.0,18.0,2.0,1.0,1.0,0.0,0.0,11.0
231,2015,KV ,Entomology ,42.0,23.0,19.0,0.0,29.0,1.0,2.0,2.0,0.0,0.0,8.0
232,2005,KP ,Environ Engr in Civil Engr ,61.0,33.0,28.0,0.0,23.0,3.0,2.0,1.0,0.0,0.0,32.0
233,2010,KP ,Environ Engr in Civil Engr ,84.0,40.0,44.0,0.0,28.0,4.0,0.0,6.0,0.0,0.0,46.0
234,2015,KP ,Environ Engr in Civil Engr ,100.0,46.0,54.0,0.0,36.0,7.0,1.0,7.0,0.0,0.0,49.0
235,2005,KP ,Environ Science in Civil Engr ,14.0,9.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0
236,2010,KP ,Environ Science in Civil Engr ,9.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0
237,2015,KP ,Environ Science in Civil Engr ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
238,2010,KV ,European Union Studies ,5.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2015,KV ,European Union Studies ,9.0,4.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0
240,2005,KM ,Finance ,896.0,622.0,271.0,3.0,547.0,140.0,28.0,42.0,1.0,0.0,138.0
241,2005,KV ,Finance ,162.0,117.0,45.0,0.0,110.0,28.0,2.0,11.0,1.0,0.0,10.0
242,2010,KM ,Finance ,578.0,388.0,190.0,0.0,249.0,97.0,12.0,30.0,0.0,0.0,190.0
243,2010,KV ,Finance ,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
244,2015,KM ,Finance ,705.0,455.0,250.0,0.0,327.0,86.0,15.0,34.0,0.0,0.0,243.0
245,2010,KP ,Financial Engineering ,26.0,21.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,21.0
246,2015,KP ,Financial Engineering ,122.0,91.0,31.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,110.0
247,2005,KL ,Food Science & Human Nutrition ,440.0,109.0,331.0,0.0,313.0,57.0,18.0,13.0,0.0,0.0,39.0
