Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,50,2,48,0,39,4,2,4,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,74,11,63,0,50,14,1,5,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,0,1,0,1,0,0,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,4,0,4,0,2,1,0,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,2,0,2,0,0,2,0,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,0,1,0,0,0,1,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,1,1,0,0,1,0,0,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,21,1,20,0,16,0,0,5,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,13,0,13,0,12,0,1,0,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,29,1,28,0,20,3,0,5,0
2015 ,KN ,613 ,BS ,0095 ,Elementary Education ,2,0,2,0,1,1,0,0,0
2015 ,KN ,613 ,CAS ,1144 ,Curriculum and Instruction ,2,0,2,0,2,0,0,0,0
2015 ,KN ,613 ,EDD ,1144 ,Curriculum and Instruction ,3,1,2,0,1,0,2,0,0
2015 ,KN ,613 ,EDM ,0095 ,Elementary Education ,11,1,10,0,8,2,0,1,0
2015 ,KN ,613 ,EDM ,1144 ,Curriculum and Instruction ,36,3,33,0,24,1,1,5,0
2015 ,KN ,613 ,EDM ,5082 ,Early Childhood Education ,2,0,2,0,1,1,0,0,0
2015 ,KN ,613 ,EDM ,8527 ,Secondary Education ,1,0,1,0,0,1,0,0,0
2015 ,KN ,613 ,EDM ,8527 ,Secondary Education ,3,2,1,0,3,0,0,0,0
2015 ,KN ,613 ,EDM ,8527 ,Secondary Education ,4,3,1,0,4,0,0,0,0
2015 ,KN ,613 ,EDM ,8527 ,Secondary Education ,12,6,6,0,7,4,0,1,0
2015 ,KN ,613 ,EDM ,8527 ,Secondary Education ,2,1,1,0,0,1,0,1,0
2015 ,KN ,613 ,MA ,1144 ,Curriculum and Instruction ,3,1,2,0,1,0,0,0,0
2015 ,KN ,613 ,NDEG ,1144 ,Curriculum and Instruction ,1,0,1,0,0,1,0,0,0
2015 ,KN ,613 ,PHD ,0095 ,Elementary Education ,1,0,1,0,0,0,0,0,0
2015 ,KN ,613 ,PHD ,0215 ,Secondary & Continuing Educ ,1,1,0,0,1,0,0,0,0
2015 ,KN ,613 ,PHD ,1144 ,Curriculum and Instruction ,71,22,49,0,32,2,7,7,0
